order_item_id,order_id,product_id,quantity,unit_price,line_total,item_status
1,700001,9424,1,294.31,294.31,Delivered
2,700001,9348,3,19808.56,59425.68,Returned
3,700001,9130,1,4412.09,4412.09,Delivered
4,700001,9145,4,136.15,544.6,Delivered
5,700002,9576,4,1395.18,5580.72,Returned
6,700002,9004,3,6049.75,18149.25,Returned
7,700002,9285,3,683.56,2050.68,Returned
8,700003,9299,2,840.69,1681.38,Delivered
9,700003,9104,1,14966.22,14966.22,Delivered
10,700003,9197,4,1380.9,5523.6,Delivered
11,700003,9203,4,620.47,2481.88,Returned
12,700004,9164,2,4357.87,8715.74,Delivered
13,700004,9550,1,858.82,858.82,Returned
14,700005,9513,1,4956.71,4956.71,Delivered
15,700005,9182,3,1187.24,3561.72,Delivered
16,700005,9050,1,624.78,624.78,Delivered
17,700005,9170,3,1747.18,5241.54,Delivered
18,700005,9222,1,11964.9,11964.9,Returned
19,700006,9310,1,30157.54,30157.54,Delivered
20,700006,9333,1,4627.05,4627.05,Returned
21,700006,9117,4,4027.48,16109.92,Delivered
22,700006,9210,4,3494.23,13976.92,Returned
23,700007,9049,2,592.97,1185.94,Delivered
24,700007,9186,2,5261.12,10522.24,Delivered
25,700007,9094,4,2263.43,9053.72,Delivered
26,700008,9551,4,950.07,3800.28,Delivered
27,700008,9192,4,75872.44,303489.76,Delivered
28,700008,9446,1,2831.92,2831.92,Delivered
29,700008,9059,3,770.17,2310.51,Delivered
30,700008,9061,3,4867.15,14601.45,Delivered
31,700009,9433,1,9270.76,9270.76,Returned
32,700010,9350,2,6870.73,13741.46,Returned
33,700010,9447,3,76296.08,228888.24,Returned
34,700011,9135,3,2109.2,6327.6,Delivered
35,700011,9272,4,7968.17,31872.68,Delivered
36,700011,9257,1,890.46,890.46,Delivered
37,700012,9226,4,86678.08,346712.32,Returned
38,700013,9428,3,1260.93,3782.79,Delivered
39,700013,9268,3,64212.14,192636.42,Delivered
40,700013,9225,1,450.11,450.11,Delivered
41,700013,9505,3,53937.03,161811.09,Returned
42,700013,9016,1,1770.76,1770.76,Delivered
43,700014,9052,1,422.32,422.32,Returned
44,700015,9244,3,77941.39,233824.17,Returned
45,700015,9357,3,7888.12,23664.36,Returned
46,700015,9443,2,4338.29,8676.58,Returned
47,700015,9161,2,718.37,1436.74,Delivered
48,700015,9145,4,136.15,544.6,Returned
49,700016,9174,4,1641.66,6566.64,Delivered
50,700016,9271,2,950.98,1901.96,Delivered
51,700017,9199,4,79410.89,317643.56,Delivered
52,700017,9166,1,1548.76,1548.76,Returned
53,700018,9064,2,62740.58,125481.16,Returned
54,700018,9557,3,270.17,810.51,Delivered
55,700018,9123,1,14767.09,14767.09,Delivered
56,700019,9595,3,2571.12,7713.36,Cancelled
57,700019,9436,2,8173.86,16347.72,Cancelled
58,700019,9092,1,838.1,838.1,Cancelled
59,700019,9040,2,1852.57,3705.14,Cancelled
60,700019,9496,3,2168.77,6506.31,Cancelled
61,700020,9143,1,811.72,811.72,Delivered
62,700021,9354,3,4670.22,14010.66,Cancelled
63,700022,9212,3,2782.39,8347.17,Cancelled
64,700022,9280,1,814.03,814.03,Cancelled
65,700022,9219,3,9650.91,28952.73,Cancelled
66,700022,9082,3,2140.75,6422.25,Cancelled
67,700023,9315,1,47430.96,47430.96,Delivered
68,700023,9129,1,6982.17,6982.17,Delivered
69,700023,9286,1,1156.07,1156.07,Delivered
70,700023,9590,2,3323.74,6647.48,Delivered
71,700023,9536,1,4170.59,4170.59,Delivered
72,700024,9578,3,2262.7,6788.1,Delivered
73,700024,9371,2,6013.39,12026.78,Returned
74,700025,9199,2,79410.89,158821.78,Delivered
75,700025,9091,3,916.83,2750.49,Delivered
76,700025,9371,1,6013.39,6013.39,Delivered
77,700025,9261,4,84463.03,337852.12,Delivered
78,700025,9165,1,18160.93,18160.93,Delivered
79,700026,9415,2,4129.15,8258.3,Returned
80,700027,9512,2,9709.62,19419.24,Cancelled
81,700027,9315,4,47430.96,189723.84,Cancelled
82,700027,9096,2,8260.41,16520.82,Cancelled
83,700027,9194,1,1029.52,1029.52,Cancelled
84,700028,9389,3,369.65,1108.95,Delivered
85,700028,9142,2,1917.55,3835.1,Delivered
86,700029,9291,3,480.39,1441.17,Delivered
87,700029,9264,3,749.45,2248.35,Returned
88,700029,9413,4,8573.83,34295.32,Delivered
89,700029,9214,2,593.64,1187.28,Returned
90,700029,9057,4,5197.64,20790.56,Delivered
91,700030,9533,2,4370.9,8741.8,Delivered
92,700030,9423,1,1207.38,1207.38,Returned
93,700031,9333,3,4627.05,13881.15,Delivered
94,700031,9147,4,1031.07,4124.28,Delivered
95,700031,9438,1,14172.21,14172.21,Returned
96,700031,9334,3,82120.45,246361.35,Returned
97,700032,9357,3,7888.12,23664.36,Returned
98,700032,9319,1,753.39,753.39,Returned
99,700032,9401,4,330.09,1320.36,Returned
100,700033,9192,2,75872.44,151744.88,Delivered
101,700033,9180,1,5841.59,5841.59,Returned
