transaction_id,customer_id,transaction_date,transaction_type,transaction_amount,merchant_category,merchant_name,transaction_location,account_balance_after_transaction,is_international_transaction,device_used,ip_address,transaction_status,transaction_source_destination,transaction_notes,fraud_flag
2d7ddfd4-1112-4354-a2dd-fad94b45a850,CUST102188,2022-01-04 11:27:00,Bill Payment,2100.0,Dining,"Rattan, Khanna and Magar","Srikakulam, Himachal Pradesh",8211.0,0,Web,31.102.21.141,Success,BCHG80012468703731,Payment for Dining,0
ba998721-a612-4e0a-8354-46d001e9c39c,CUST107144,2022-01-03 23:52:00,UPI,1400.0,Travel,Chauhan LLC,"Giridih, Manipur",12858.0,0,Web,176.48.222.166,Success,CJPZ11841095072972,Payment for Travel,0
0b4ad8e2-40ac-49c9-b59a-c9efaaccc7a6,CUST102126,2022-01-15 06:54:00,Debit Card,1000.0,Entertainment,Halder-Sarma,"Avadi, Kerala",19268.0,0,ATM,181.62.105.161,Success,TLCG50761416960179,Payment for Entertainment,0
c4fce988-34c5-48db-8686-bfad0b3bc0b5,CUST109887,2022-01-08 07:57:00,Credit Card,10500.0,Utilities,"Anand, Khare and Balakrishnan","Navi Mumbai, Maharashtra",29585.0,0,ATM,121.157.246.80,Success,PRZJ55096553432036,Payment for Utilities,0
f9b8ca30-00e5-4322-8cff-eac0554cf2da,CUST108620,2022-01-02 10:43:00,Loan Disbursement,8100.0,Electronics,Zacharia and Sons,"Visakhapatnam, Gujarat",0.0,0,ATM,129.96.5.57,Success,NBAI29021393288369,Payment for Electronics,0
cd7c8869-446f-495b-aedc-a8135657d99a,CUST115764,2022-01-14 16:57:00,UPI,9100.0,Travel,"Luthra, Sen and Ramanathan","Sangli-Miraj & Kupwad, Arunachal Pradesh",31394.0,0,Web,96.106.139.220,Success,KCIO57938339556318,Payment for Travel,0
bfc0dcfd-a598-46f2-985e-035251b1f66d,CUST113867,2022-01-16 02:06:00,ATM Withdrawal,100.0,Healthcare,Kashyap PLC,"Hubli–Dharwad, Sikkim",23376.0,0,Mobile,198.106.251.18,Success,Self,Payment for Healthcare,0
14d7d097-1c91-4fd9-ada6-f53d52cc3bd4,CUST119307,2022-01-17 13:16:00,Net Banking,17500.0,Cash Withdrawal,Bhattacharyya Ltd,"Thanjavur, Arunachal Pradesh",0.0,0,Web,251.55.245.126,Success,KZER85769272663459,Payment for Cash Withdrawal,0
33e9785c-d77e-4338-b0ca-0d3771901ce7,CUST114732,2022-01-09 19:34:00,Net Banking,6500.0,Financial Services,"Raju, Sathe and Samra","Khandwa, Kerala",19913.0,0,ATM,4.206.93.225,Success,TBRB09964771870364,Payment for Financial Services,0
93b4f5db-ce11-47d1-a5ec-fb558871f1a8,CUST115559,2022-01-12 04:57:00,ATM Withdrawal,62781.568029312526,Electronics,Bumb-Kothari,"Sambhal, Maharashtra",0.0,0,Web,126.222.103.69,Failed,Self,Payment for Electronics,1
a6984ba8-aa3a-45c8-9ed2-cbbfed7d5512,CUST118162,2022-01-04 15:53:00,Fund Transfer,2600.0,Groceries,"Ben, Korpal and Ben","Bikaner, Manipur",13898.0,0,Web,169.104.143.218,Success,FWFR39865699123479,Payment for Groceries,0
0b56e499-066e-407d-95a6-1452ecb3dc3b,CUST101442,2022-01-26 23:57:00,Deposit,4600.0,Entertainment,Sur-Vasa,"Raurkela Industrial Township, West Bengal",28363.0,0,ATM,109.18.22.175,Success,Self,Payment for Entertainment,0
049432ff-b423-49fa-8526-a481bb1f5319,CUST104213,2022-01-07 18:40:00,UPI,900.0,Education,Manda-Wali,"Mathura, Assam",12393.0,0,Mobile,75.115.196.137,Success,BJFO17453837293114,Payment for Education,0
6870edfd-6206-42a6-9ee4-2e145ede4120,CUST119615,2022-01-13 17:16:00,Bill Payment,4100.0,Entertainment,Hans-Bumb,"Amritsar, Haryana",22747.0,0,Web,108.194.104.232,Success,IAJW36422117188953,Payment for Entertainment,0
bea4935b-3995-49d9-9c44-b3b0e193d45d,CUST102688,2022-01-29 14:36:00,UPI,1200.0,Financial Services,Sethi-Gala,"Khammam, Nagaland",34545.0,0,ATM,185.211.183.217,Success,MOOW64912688238363,Payment for Financial Services,0
04540a6c-897a-4965-95df-056d1397afe9,CUST114479,2022-01-07 19:39:00,Credit Card,3500.0,Online Shopping,Gole Ltd,"Bhopal, Himachal Pradesh",16792.0,0,Web,158.176.152.93,Success,BJMT38333492655768,Payment for Online Shopping,0
6a0388c6-c384-4125-8eba-edefb04adec2,CUST101967,2022-01-31 12:32:00,Loan Disbursement,3700.0,Healthcare,"Sodhi, Bakshi and Sanghvi","Ludhiana, Meghalaya",28497.0,0,ATM,98.54.61.80,Success,KEUM06693746061329,Payment for Healthcare,0
0078974e-4bc0-4add-b0cb-83a1e27c921c,CUST108829,2022-01-21 07:36:00,ATM Withdrawal,3000.0,Utilities,Sinha-Sankar,"Motihari, Sikkim",19560.0,0,ATM,90.38.195.113,Success,Self,Payment for Utilities,0
00d3cf48-fbf9-44c0-afb5-989dfbd92e22,CUST109395,2022-01-15 23:17:00,ATM Withdrawal,7800.0,Fuel,Bhardwaj Group,"Guna, Sikkim",817.0,0,Web,142.219.199.242,Success,Self,Payment for Fuel,0
e8a3993c-5385-4d0e-9bd2-e45d0fbf7e30,CUST100539,2022-01-20 09:08:00,Fund Transfer,2600.0,Online Shopping,Varty-Sibal,"Erode, Nagaland",8644.0,0,Mobile,158.233.103.28,Success,MXPX26123276613011,Payment for Online Shopping,0
f12a61cc-dc4c-4bd3-bdfd-85b6095fa43e,CUST102206,2022-01-07 13:03:00,Loan Disbursement,14200.0,Groceries,Chandra-Balan,"Tumkur, Assam",0.0,0,Web,24.72.40.12,Success,UBFA00247381443051,Payment for Groceries,0
8ad89baf-5999-4c6d-880e-bac8089fe092,CUST109003,2022-01-25 16:10:00,Deposit,8700.0,Healthcare,Barad and Sons,"Khandwa, Karnataka",32924.0,0,Web,0.34.241.172,Success,Self,Payment for Healthcare,0
cd33c0f2-59fd-4e8a-8523-bb897e29c0b9,CUST100245,2022-01-29 09:24:00,Deposit,9700.0,Travel,Verma-Khare,"Ghaziabad, Meghalaya",45844.0,0,Web,32.128.8.70,Success,Self,Payment for Travel,0
63ad6572-ee8c-4d5f-bc5d-3cde4446b6ad,CUST117675,2022-01-11 17:51:00,Fund Transfer,7200.0,Groceries,Mahal LLC,"Satara, Arunachal Pradesh",6065.0,0,POS,107.129.4.254,Success,BZYK60263659091921,Payment for Groceries,0
595cb0ed-682a-4fef-b5b2-cbdbdedb4fd3,CUST118045,2022-01-16 17:28:00,Credit Card,7400.0,Dining,Chander-Lal,"Shahjahanpur, Jharkhand",0.0,0,POS,83.137.79.234,Success,BFHV23362823349816,Payment for Dining,0
8956156e-e6ad-4a00-b76f-6d3e05354024,CUST110738,2022-01-01 09:13:00,Fund Transfer,100.0,Travel,Mand PLC,"Bokaro, Assam",30999.0,0,POS,243.93.112.66,Success,LECN53071981620570,Payment for Travel,0
74b1cfca-2a53-42de-860a-ed1206f88e28,CUST107527,2022-01-05 17:09:00,Net Banking,700.0,Utilities,"Ahluwalia, Salvi and Grewal","Jaipur, Goa",25226.0,0,Web,132.123.0.185,Success,JWIX67726360559267,Payment for Utilities,0
890251cd-4e48-40ef-8e83-9fc7bf21fb6d,CUST114645,2022-01-26 04:30:00,ATM Withdrawal,10000.0,Dining,Kamdar Group,"Nagaon, Jharkhand",0.0,0,Web,79.88.2.234,Success,Self,Payment for Dining,0
e2a88841-1287-49c2-a498-6fe3b6e73f44,CUST111858,2022-01-06 14:14:00,Bill Payment,11100.0,Groceries,"Datta, Jaggi and Kar","Rajkot, Meghalaya",23962.0,0,POS,207.145.96.106,Success,FNNT22711778587102,Payment for Groceries,0
f955ec9c-6315-457c-b78f-8869917bf4fb,CUST114775,2022-01-11 23:47:00,Fund Transfer,4500.0,Cash Withdrawal,Mall PLC,"Surendranagar Dudhrej, Odisha",24229.0,0,Web,204.219.82.80,Success,GANX27077173519185,Payment for Cash Withdrawal,0
e8189aa5-671b-401c-96e4-0d7e9367589c,CUST111844,2022-01-13 09:06:00,Credit Card,10300.0,Online Shopping,Manda and Sons,"Khandwa, West Bengal",18233.0,0,POS,91.236.19.198,Success,BLMJ16161395744759,Payment for Online Shopping,0
be3d6b16-308e-42ab-8586-9be8f6032d20,CUST119109,2022-01-02 22:28:00,Loan Disbursement,10500.0,Financial Services,Gill-Dhingra,"Panvel, Goa",31399.0,0,POS,46.170.49.53,Success,EVPO10597612145394,Payment for Financial Services,0
f12cc555-f909-4f58-a08f-097d632eec5f,CUST107968,2022-01-02 03:54:00,Credit Card,900.0,Entertainment,Hayer and Sons,"Phusro, Chhattisgarh",18204.0,0,ATM,247.24.6.134,Success,NSJY34093484006383,Payment for Entertainment,0
66ac8864-183a-4015-b019-dd4dd3abc081,CUST118121,2022-01-24 07:22:00,Fund Transfer,500.0,Dining,"Krishna, Dayal and Kuruvilla","Aurangabad, Sikkim",28462.0,0,ATM,69.22.119.21,Success,UZZI94422196521044,Payment for Dining,0
836a5438-ee5e-4355-b498-1764f0f7b3c1,CUST115692,2022-01-24 02:21:00,Loan Disbursement,12500.0,Dining,Mandal-Thaker,"Haldia, Punjab",7813.0,0,Web,21.133.210.157,Success,IRUG49172739939124,Payment for Dining,0
ca72b4d1-2034-4a62-8782-53aeda867f01,CUST111549,2022-01-13 02:37:00,Debit Card,3200.0,Online Shopping,Srivastava-Bahri,"Jalgaon, Assam",18517.0,0,ATM,119.200.193.136,Success,BJPI56646954839646,Payment for Online Shopping,0
2566e19d-dcd5-4238-9fb0-f69e83d2f7ba,CUST119368,2022-01-30 20:09:00,Deposit,7200.0,Travel,"Ghosh, Sachar and Din","Anantapuram, Bihar",15962.0,0,Mobile,21.101.229.50,Success,Self,Payment for Travel,0
3dbc6c17-050d-414a-bb09-8fe4bd1116db,CUST116923,2022-01-09 19:26:00,Debit Card,7400.0,Healthcare,Loke-Karnik,"Tadepalligudem, Sikkim",0.0,0,Mobile,158.237.102.26,Success,LAXG65675922579431,Payment for Healthcare,0
345202b8-fc01-4124-ab27-d482ad86bad9,CUST102383,2022-01-18 19:16:00,Fund Transfer,2200.0,Fuel,Dewan Ltd,"Bharatpur, Uttar Pradesh",14585.0,0,POS,213.228.46.74,Success,CYIZ09110064822799,Payment for Fuel,0
7f131467-8329-4171-a3a8-358336e8d188,CUST116276,2022-01-10 10:50:00,Fund Transfer,9500.0,Entertainment,"Sawhney, Soni and Bhandari","Bhopal, Kerala",16867.0,0,Mobile,140.75.1.58,Success,SJAW44334872673735,Payment for Entertainment,0
c148402b-fb9f-47ba-a763-7ef1a7a512d1,CUST109666,2022-01-04 00:26:00,Loan Disbursement,300.0,Education,"Hayer, Ganguly and Bhavsar","Surat, Himachal Pradesh",17993.0,0,POS,63.55.138.235,Success,FRKM47366148958674,Payment for Education,0
caea6374-0b56-4fcb-8bb7-0f492bb16a2c,CUST109957,2022-01-23 23:21:00,Credit Card,3400.0,Education,Goda-Walia,"Khora , Punjab",27156.0,0,Web,184.37.118.157,Success,RHTR32455233701345,Payment for Education,0
0d545446-f143-4de1-875c-61922e384a5f,CUST104796,2022-01-22 18:32:00,Deposit,19700.0,Groceries,Baria-Chand,"Bijapur, Meghalaya",58001.0,0,Web,242.171.197.248,Success,Self,Payment for Groceries,0
018618ce-5fc0-422f-a8e4-a916eace49a7,CUST103954,2022-01-23 01:28:00,UPI,3000.0,Utilities,Keer and Sons,"Ballia, Assam",36900.0,0,ATM,59.205.42.49,Success,CEMS77388484404087,Payment for Utilities,0
8295cf92-80d8-4b76-8aad-416bcc0f6b15,CUST113183,2022-01-29 15:09:00,Loan Disbursement,2300.0,Utilities,Dey-Gole,"Ranchi, Manipur",44949.0,0,ATM,1.167.51.136,Success,SCZI58471648482437,Payment for Utilities,0
46644095-412e-4f99-8895-95e5168b9319,CUST113049,2022-01-05 09:10:00,UPI,1600.0,Online Shopping,Kota-Iyengar,"Tadipatri, Gujarat",34547.0,0,POS,63.206.88.64,Success,ESJO74593587095491,Payment for Online Shopping,0
5f785171-2eef-40da-a4f7-60ddcfa755d3,CUST100424,2022-01-02 04:03:00,Bill Payment,5200.0,Utilities,Dash Ltd,"Haldia, Himachal Pradesh",36470.0,0,ATM,68.250.28.160,Success,GHPH92421101711431,Payment for Utilities,0
a4896ea2-5452-4047-adff-1f50daef834c,CUST115366,2022-01-04 01:58:00,UPI,200.0,Utilities,Dar-Sachdev,"Srikakulam, Bihar",48045.0,0,Mobile,91.59.167.235,Success,XKFY43139106599599,Payment for Utilities,0
1cdf26db-867d-4f77-a0d7-96d564a302f7,CUST118462,2022-01-28 02:53:00,Loan Disbursement,1000.0,Online Shopping,Sagar Inc,"Pallavaram, Punjab",39411.0,0,POS,116.210.12.228,Success,ZESZ78637017816235,Payment for Online Shopping,0
5914cece-4513-4d3b-a857-47a1618d22cf,CUST102058,2022-01-10 03:26:00,Deposit,2400.0,Entertainment,Sampath-Kibe,"Muzaffarnagar, Uttar Pradesh",24181.0,0,Mobile,228.155.61.231,Success,Self,Payment for Entertainment,0
279313ed-a580-4272-9da1-62323454d2c3,CUST107828,2022-01-26 13:59:00,ATM Withdrawal,7300.0,Travel,Lalla-Karan,"Bettiah, Tamil Nadu",30594.0,0,POS,88.169.234.33,Success,Self,Payment for Travel,0
cf8abfc7-69d7-48a4-86cf-98de510275fe,CUST109707,2022-01-11 05:30:00,Credit Card,2600.0,Utilities,"Walla, Salvi and Chopra","Phusro, Uttarakhand",36160.0,0,ATM,194.96.137.93,Success,MTUY05004112687198,Payment for Utilities,0
3e83b915-b990-4d69-923e-467e6066a07d,CUST110661,2022-01-19 23:09:00,Credit Card,1600.0,Cash Withdrawal,Bala PLC,"Bhalswa Jahangir Pur, Jharkhand",8785.0,0,POS,220.77.201.93,Success,EBLB34941935452311,Payment for Cash Withdrawal,0
6bffb07b-f513-4a75-81c5-dfecf0b00a1d,CUST115719,2022-01-25 14:25:00,Net Banking,2000.0,Electronics,Handa Ltd,"Narasaraopet, Rajasthan",26003.0,0,ATM,221.202.138.129,Success,JGUP77620164552044,Payment for Electronics,0
15d6af6a-98f9-4cfc-8ae5-05fdfb7b6fa9,CUST112993,2022-01-01 23:41:00,Debit Card,3500.0,Dining,Keer-Agrawal,"Mango, Punjab",7684.0,0,Mobile,88.118.214.1,Success,NSJQ17446054543764,Payment for Dining,0
18036861-e11f-44a2-b2de-fd71bf2f3691,CUST101769,2022-01-12 16:56:00,UPI,9400.0,Groceries,"Sen, Sane and Srinivasan","Saharsa, Chhattisgarh",4099.0,0,ATM,241.21.132.204,Success,HUBH79437280198563,Payment for Groceries,0
1f7212e9-d38b-4740-a0e0-9a983485eadb,CUST118296,2022-01-22 16:00:00,ATM Withdrawal,2200.0,Travel,Sur-Halder,"Sri Ganganagar, Manipur",131.0,0,Web,223.92.158.255,Success,Self,Payment for Travel,0
82666b1a-cb17-40b2-89a1-9d830a78bbd2,CUST102828,2022-01-04 15:55:00,Net Banking,20700.0,Healthcare,"Chaudhuri, Sem and Gara","Udupi, Chhattisgarh",0.0,0,Web,67.28.35.154,Success,DCAK22235801416078,Payment for Healthcare,0
